Time,Potentiometer,Distance
07/27/2021_20:38:30.313,356.73,170.8
07/27/2021_20:38:30.331,356.73,173.42
07/27/2021_20:38:30.442,356.73,157.19
07/27/2021_20:38:30.553,356.73,170.8
07/27/2021_20:38:30.664,356.73,170.8
07/27/2021_20:38:30.775,356.73,170.37
07/27/2021_20:38:30.814,356.73,170.37
07/27/2021_20:38:31.004,356.73,2152.92
07/27/2021_20:38:31.115,356.73,169.98
07/27/2021_20:38:31.226,356.73,170.36
07/27/2021_20:38:31.315,357.82,170.36
07/27/2021_20:38:31.337,357.82,171.22
07/27/2021_20:38:31.449,357.82,170.37
07/27/2021_20:38:31.559,357.82,154.66
07/27/2021_20:38:31.670,357.82,170.81
07/27/2021_20:38:31.781,357.82,156.88
07/27/2021_20:38:31.817,357.82,156.88
07/27/2021_20:38:31.892,357.82,170.8
07/27/2021_20:38:32.004,357.82,170.42
07/27/2021_20:38:32.115,357.82,170.8
07/27/2021_20:38:32.226,357.82,173.15
07/27/2021_20:38:32.318,356.73,173.15
07/27/2021_20:38:32.337,356.73,154.73
07/27/2021_20:38:32.448,356.73,170.78
07/27/2021_20:38:32.559,356.73,169.93
07/27/2021_20:38:32.670,356.73,170.82
07/27/2021_20:38:32.782,356.73,173.4
07/27/2021_20:38:32.819,357.82,173.4
07/27/2021_20:38:32.892,357.82,156.23
07/27/2021_20:38:33.003,357.82,170.37
07/27/2021_20:38:33.114,357.82,157.2
07/27/2021_20:38:33.225,357.82,170.77
07/27/2021_20:38:33.321,356.73,170.77
07/27/2021_20:38:33.336,356.73,170.78
07/27/2021_20:38:33.447,356.73,155.77
07/27/2021_20:38:33.558,356.73,171.75
07/27/2021_20:38:33.668,356.73,155.37
07/27/2021_20:38:33.779,356.73,169.91
07/27/2021_20:38:33.822,356.73,169.91
07/27/2021_20:38:33.891,356.73,170.8
07/27/2021_20:38:34.001,356.73,154.39
07/27/2021_20:38:34.227,356.73,2152.36
07/27/2021_20:38:34.323,356.73,2152.36
07/27/2021_20:38:34.338,356.73,170.36
07/27/2021_20:38:34.449,356.73,169.9
07/27/2021_20:38:34.561,356.73,171.68
07/27/2021_20:38:34.672,356.73,170.29
07/27/2021_20:38:34.783,356.73,155.65
07/27/2021_20:38:34.824,354.55,155.65
07/27/2021_20:38:34.894,354.55,171.67
07/27/2021_20:38:35.005,354.55,155.28
07/27/2021_20:38:35.116,354.55,169.99
07/27/2021_20:38:35.229,354.55,178.53
07/27/2021_20:38:35.326,356.73,178.53
07/27/2021_20:38:35.341,356.73,154.33
07/27/2021_20:38:35.461,356.73,310.07
07/27/2021_20:38:35.571,356.73,155.54
07/27/2021_20:38:35.682,356.73,169.9
07/27/2021_20:38:35.793,356.73,158.07
07/27/2021_20:38:35.827,356.73,158.07
07/27/2021_20:38:35.904,356.73,170.8
07/27/2021_20:38:36.015,356.73,170.77
07/27/2021_20:38:36.127,356.73,170.41
07/27/2021_20:38:36.238,356.73,172.13
07/27/2021_20:38:36.329,356.73,172.13
07/27/2021_20:38:36.348,356.73,156.2
07/27/2021_20:38:36.459,356.73,170.33
07/27/2021_20:38:36.571,356.73,172.15
07/27/2021_20:38:36.682,356.73,170.78
07/27/2021_20:38:36.793,356.73,173.59
07/27/2021_20:38:36.830,357.82,173.59
07/27/2021_20:38:36.904,357.82,156.99
07/27/2021_20:38:37.015,357.82,170.82
07/27/2021_20:38:37.126,357.82,170.35
07/27/2021_20:38:37.238,357.82,170.81
07/27/2021_20:38:37.331,356.73,170.81
07/27/2021_20:38:37.349,356.73,173.37
07/27/2021_20:38:37.460,356.73,154.77
07/27/2021_20:38:37.571,356.73,170.74
07/27/2021_20:38:37.682,356.73,170.81
07/27/2021_20:38:37.793,356.73,170.8
07/27/2021_20:38:37.833,357.82,170.8
07/27/2021_20:38:37.905,357.82,170.31
07/27/2021_20:38:38.016,357.82,170.85
07/27/2021_20:38:38.127,357.82,172.57
07/27/2021_20:38:38.238,357.82,155.59
07/27/2021_20:38:38.334,357.82,155.59
07/27/2021_20:38:38.349,357.82,170.4
07/27/2021_20:38:38.460,357.82,170.39
07/27/2021_20:38:38.572,357.82,172.12
07/27/2021_20:38:38.683,357.82,173.01
07/27/2021_20:38:38.794,357.82,155.82
07/27/2021_20:38:38.835,356.73,155.82
07/27/2021_20:38:38.919,356.73,170.76
07/27/2021_20:38:39.030,356.73,155.13
07/27/2021_20:38:39.151,356.73,170.0
07/27/2021_20:38:39.277,356.73,339.5
07/27/2021_20:38:39.336,357.82,339.5
07/27/2021_20:38:39.389,357.82,170.38
07/27/2021_20:38:39.500,357.82,170.41
07/27/2021_20:38:39.610,357.82,153.71
07/27/2021_20:38:39.722,357.82,172.55
07/27/2021_20:38:39.833,357.82,157.1
07/27/2021_20:38:39.837,357.82,157.1
07/27/2021_20:38:39.944,357.82,169.92
07/27/2021_20:38:40.056,357.82,169.93
07/27/2021_20:38:40.167,357.82,170.4
07/27/2021_20:38:40.278,357.82,172.11
07/27/2021_20:38:40.338,356.73,172.11
07/27/2021_20:38:40.389,356.73,156.24
07/27/2021_20:38:40.500,356.73,170.37
07/27/2021_20:38:40.610,356.73,157.26
07/27/2021_20:38:40.721,356.73,169.96
07/27/2021_20:38:40.833,356.73,170.34
07/27/2021_20:38:40.839,356.73,170.34
07/27/2021_20:38:40.944,356.73,172.12
07/27/2021_20:38:41.055,356.73,171.71
07/27/2021_20:38:41.166,356.73,156.49
07/27/2021_20:38:41.277,356.73,171.65
07/27/2021_20:38:41.340,357.82,171.65
07/27/2021_20:38:41.388,357.82,170.37
07/27/2021_20:38:41.499,357.82,154.22
07/27/2021_20:38:41.610,357.82,171.74
07/27/2021_20:38:41.722,357.82,155.63
07/27/2021_20:38:41.833,357.82,170.39
07/27/2021_20:38:41.841,356.73,170.39
07/27/2021_20:38:41.944,356.73,157.37
07/27/2021_20:38:42.055,356.73,169.95
07/27/2021_20:38:42.166,356.73,170.33
07/27/2021_20:38:42.277,356.73,155.37
07/27/2021_20:38:42.342,357.82,155.37
07/27/2021_20:38:42.388,357.82,171.78
07/27/2021_20:38:42.499,357.82,157.34
07/27/2021_20:38:42.610,357.82,170.42
07/27/2021_20:38:42.721,357.82,171.75
07/27/2021_20:38:42.833,357.82,170.4
07/27/2021_20:38:42.844,356.73,170.4
07/27/2021_20:38:42.944,356.73,174.02
07/27/2021_20:38:43.054,356.73,154.37
07/27/2021_20:38:43.165,356.73,170.4
07/27/2021_20:38:43.277,356.73,170.4
07/27/2021_20:38:43.345,357.82,170.4
07/27/2021_20:38:43.388,357.82,171.69
07/27/2021_20:38:43.499,357.82,173.5
07/27/2021_20:38:43.610,357.82,154.45
07/27/2021_20:38:43.721,357.82,170.81
07/27/2021_20:38:43.831,357.82,158.66
07/27/2021_20:38:43.846,357.82,158.66
07/27/2021_20:38:43.943,357.82,170.41
07/27/2021_20:38:44.054,357.82,170.4
07/27/2021_20:38:44.165,357.82,170.42
07/27/2021_20:38:44.276,357.82,170.33
07/27/2021_20:38:44.347,354.55,170.33
07/27/2021_20:38:44.387,354.55,155.65
07/27/2021_20:38:44.498,354.55,169.89
07/27/2021_20:38:44.610,354.55,170.84
07/27/2021_20:38:44.721,354.55,170.42
07/27/2021_20:38:44.853,357.82,170.42
07/27/2021_20:38:44.947,357.82,2153.1
07/27/2021_20:38:45.059,357.82,171.25
07/27/2021_20:38:45.170,357.82,170.39
07/27/2021_20:38:45.281,357.82,170.39
07/27/2021_20:38:45.359,356.73,170.39
07/27/2021_20:38:45.392,356.73,173.5
07/27/2021_20:38:45.503,356.73,155.05
07/27/2021_20:38:45.614,356.73,169.91
07/27/2021_20:38:45.725,356.73,170.85
07/27/2021_20:38:45.836,356.73,170.37
07/27/2021_20:38:45.861,356.73,170.37
07/27/2021_20:38:45.948,356.73,170.79
07/27/2021_20:38:46.058,356.73,154.61
07/27/2021_20:38:46.169,356.73,171.28
07/27/2021_20:38:46.280,356.73,155.57
07/27/2021_20:38:46.361,356.73,155.57
07/27/2021_20:38:46.390,356.73,153.05
07/27/2021_20:38:46.501,356.73,171.7
07/27/2021_20:38:46.612,356.73,156.09
07/27/2021_20:38:46.723,356.73,172.23
07/27/2021_20:38:46.834,356.73,154.77
07/27/2021_20:38:46.862,357.82,154.77
07/27/2021_20:38:46.945,357.82,169.93
07/27/2021_20:38:47.057,357.82,170.83
07/27/2021_20:38:47.168,357.82,170.83
07/27/2021_20:38:47.280,357.82,172.76
07/27/2021_20:38:47.363,356.73,172.76
07/27/2021_20:38:47.390,356.73,156.23
